Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
      0.41000      0.00000      0.00000      0.00000
      0.42000      0.00000      0.00000      0.00000
      0.43000      0.00000      0.00000      0.00000
      0.44000      0.00000      0.00000      0.00000
      0.45000      0.00000      0.00000      0.00000
      0.46000      0.00000      0.00000      0.00000
      0.47000      0.00000      0.00000      0.00000
      0.48000      0.00000      0.00000      0.00000
      0.49000      0.00000      0.00000      0.00000
      0.50000      0.00000      0.00000      0.00000
      0.51000      0.00000      0.00000      0.00000
      0.52000      0.00000      0.00000      0.00000
      0.53000      0.00000      0.00000      0.00000
      0.54000      0.00000      0.00000      0.00000
      0.55000      0.00000      0.00000      0.00000
      0.56000      0.00000      0.00000      0.00000
      0.57000      0.00000      0.00000      0.00000
      0.58000      0.00000      0.00000      0.00000
      0.59000      0.00000      0.00000      0.00000
      0.60000      0.00000      0.00000      0.00000
      0.61000      0.00000      0.00000      0.00000
      0.62000      0.00000      0.00000      0.00000
      0.63000      0.00000      0.00000      0.00000
      0.64000      0.00000      0.00000      0.00000
      0.65000      0.00000      0.00000      0.00000
      0.66000      0.00000      0.00000      0.00000
      0.67000      0.00000      0.00000      0.00000
      0.68000      0.00000      0.00000      0.00000
      0.69000      0.00000      0.00000      0.00000
      0.70000      0.00000      0.00000      0.00000
      0.71000      0.00000      0.00000      0.00000
      0.72000      0.00000      0.00000      0.00000
      0.73000      0.00000      0.00000      0.00000
      0.74000      0.00000      0.00000      0.00000
      0.75000      0.00000      0.00000      0.00000
      0.76000      0.00000      0.00000      0.00000
      0.77000      0.00000      0.00000      0.00000
      0.78000      0.00000      0.00000      0.00000
      0.79000      0.00000      0.00000      0.00000
      0.80000      0.00000      0.00000      0.00000
      0.81000      0.00000      0.00000      0.00000
      0.82000      0.00000      0.00000      0.00000
      0.83000      0.00000      0.00000      0.00000
      0.84000      0.00000      0.00000      0.00000
      0.85000      0.00000      0.00000      0.00000
      0.86000      0.00000      0.00000      0.00000
      0.87000      0.00000      0.00000      0.00000
      0.88000      0.00000      0.00000      0.00000
      0.89000      0.00000      0.00000      0.00000
      0.90000      0.00000      0.00000      0.00000
      0.91000      0.00000      0.00000      0.00000
      0.92000      0.00000      0.00000      0.00000
      0.93000      0.00000      0.00000      0.00000
      0.94000      0.00000      0.00000      0.00000
      0.95000      0.00000      0.00000      0.00000
      0.96000      0.00000      0.00000      0.00000
      0.97000      0.00000      0.00000      0.00000
      0.98000      0.00000      0.00000      0.00000
      0.99000      0.00000      0.00000      0.00000
      1.00000      0.00000      0.00000      0.00000
      1.01000      0.00000      0.00000      0.00000
      1.02000      0.00000      0.00000      0.00000
      1.03000      0.00000      0.00000      0.00000
      1.04000      0.00000      0.00000      0.00000
      1.05000      0.00000      0.00000      0.00000
      1.06000      0.00000      0.00000      0.00000
      1.07000      0.00000      0.00000      0.00000
